Title,Director,Cast,Genre,Year,new_Genre
Grihalaxmi,Sarvottam Badami,"Yakub, Jal Merchant, Sabita Devi, K. C. Dey, SWaroop Rani, Lalita Devulkar, Asooji, Mehboob Khan, Kamla",Socil Family,1934,Socil Family
Gul Sanobar,Homi Master,"Sulochana Ruby Myers, D. Billimoria, Zubeida, Ghulam Mohammed, Chanda, Hadi, Jilloobai, Abdul Qadir, Sayed Ahmed",Fantasy,1934,Fantasy
Gunsundari,Chandulal Shah,"E. Billimoria, Gohar Mamajiwala, Rampyari, Shanta, Dixit, Keki Adajania, Ghory, Ram Apte, Raja Sandow",Social,1934,Social
Hari Bhakti,Prafulla Ghosh,"Kanan Devi, Mrinal Ghosh, Avdhut, Tulsicharan, Benoy, Goswami",Devotional,1934,Devotional
Hoor-E-Baghdad,R. N. Vaidya,"Shiraz, Sardar Mansur, Meherunisa, Anwaribai, Swarup Rani, Vimla, Bachcha, Dalpat",Fantasy,1934,Fantasy
Hothal Padmini,K. Rathod,"Sardar Akhtar, Zebunissa, Iqbal, Ashraf Khan, Ali Baksh",Legend,1934,Legend
Indira M. A.,Nandlal Jaswantal,"Sulochana (Ruby Myers), D. Billimoria, Jamshedji Khansaheb, Raja Sandow, Jilloobai, Hadi",Social,1934,Social
Insaaf Ki Tope,Vithaldas Panchotia,"Rajkumari, V. Panchotia, Dadabhai Sarkari, Shahzadi, R. P. Kapoor, Shaila, Fida Hussain, Bhola Shankar",Action,1934,Action
Jawani Diwani,Shanti Dave,"Ranibala, Zohrajan, Panna, Shivrani Ghosh, Manohar Ghatwai, Rafiqe Ghaznavi",Social,1934,Social
Johar-E-Shamsheer,J. P. Advani,"Nissar, Zebunissa, Sardar Akhtar, Prabha Shankar, Jani Babu, Bibijan",Costume Action,1934,Costume Action
Kala Naag,"Adi Irani, B. Murzban","Jamshedji Khansaheb, Dulari, Manjiri, Rafiq Ghaznavi, Tahami Chemist",Social,1934,Social
