Title,Director,Cast,Genre,Year
Paropakari (Kannada Dub,Y. R. Swamy,"Rajkumar, Jayanthi, Rathna, Sampath, Pandari Bai",Suspense Crime Thriller,1973
Palletoori Bava,K. Pratyagatma,"ANR, Lakshmi",,1973
Pasi Hrudayalu,,"Krishna, Jamuna",,1973
Poola Mala,Vasanthakumar Reddy,"Chandrakala, Krishnam Raju, Nagabhushanam, Relangi, Ramana Reddy, Allu Rama Lingaiah,",,1973
Puttinillu Mettinillu,Pattu,"Ghattamaneni Krishna, Sobhan Babu, Lakshmi",,1973
Samsaram Sagaram,Dasari Narayana Rao,,,1973
Sharada,,"Sobhan Babu, Sharada",,1973
Srivaru Maavaru,,Krishna,Family,1973
Snehabandam,,"Jamuna, Krishnam Raju",,1973
Sthri Chandra Kala,,,,1973
Tallikodukulu,,,,1973
Tata Manavadu,Dasari Narayana Rao,"Raja Babu, Vijaya Nirmala",,1973
Vaade Veedu,D. Yoganand,"NTR, Manjula",,1973
Visali,,Sharada,,1973
Yesu Prabhu (Malayalam Dub Jesus),P. A. Thomas,"Gemini Ganesan, Jayalalitha, etc",,1973
Agent Gopi,K. S. R. Das,"Krishna, Jaya Prada, Kaikala Satyanarayana, M. Prabhakar Reddy",Spy/ Action,1978
Angadi Bomma,V. Madhusudhan Rao,"Narasimharaju, Anjali Devi, Seema, G. V. Narayana Rao",Drama,1978
Annadammula Savaal,K. S. R. Das,"Krishna, Rajinikanth, Jayachitra, Chandrakala",Drama,1978
Athani Kante Ghanudu,,,,1978
Bommarillu,Rajachandra,"Murali Mohan, Mohan Babu, Sreedhar, Jayanthi, Eswara Rao",Drama,1978
Chal Mohana Ranga,B. Bhaskar,"Krishna, Mohan Babu, M. Prabhakar Reddy, Sowkar Janaki, Deepa",Action,1978
Cheppindi Chestha,M. S. Gopinath,"Krishna, Jayachitra, Latha",Drama,1978
Chilipi Krishnudu,B. Subba Rao,"Akkineni Nageswara Rao, Vanisree",Romance,1978
Chiranjeevi Rambabu,Tatineni Prakash Rao,"Ranganath, Manjula, Jamuna",Drama,1978
Devadasu Malli Puttadu,Dasari Narayana Rao,"Akkineni Nageswara Rao, Vanisree, Jaya Prada, Gummadi",Romance,1978
Dongala Dopidi,M. Mallikarjuna Rao,"Krishna, Mohan Babu, Sreedhar, Giribabu, Kanchana",Comedy action,1978
Dongala Veta,K. S. R. Das,"Krishna, Jaya Prada, Jaggayya, Pandari Bai",Action,1978
Doo Doo Basavanna,B. V. Prasad,"Chalam, Deepa",Comedy,1978
Enki Naidu Bava,B. Subba Rao,"Sobhan Babu, Mohan Babu, Jayasudha, Jaya Prada",Drama,1978
Gamattu Gudachari,Singeetham Srinivasa Rao,Ranganath,Comedy,1978
Gorantha Deepam,Bapu,"Mohan Babu, Vanisri",,1978
Indradhanassu,K. Bapayya,"Krishna, Saradha",Romance,1978
